Type;Domain;Competence
Recherche et Innovation;Sci;Conception des projet de Recherche et développement, d’études et prospective
Recherche et Innovation;Sci;Développer de nouvelles méthodes quantitatives et qualitatives pour des projets de recherche en Innovation
Recherche et Innovation;Tech;Mettre en oeuvre des méthodes quantitatives et qualitatives pour des projets de recherche en Innovation
Recherche et Innovation;Sci;Réaliser les outils numériques exploitant les nouvelles méthodes
Recherche et Innovation;Tech;Rédiger des rapport scientifiques, techniques pour des parties prenantes des projets
Système d'information;Tech;Concevoir l'architecture et le fonctionnement du système d'information
Système d'information;Tech;Gérer la réalisation de système d'information selon la methode agile
Système d'information;Tech;Concevoir l'experience utilisateur ( réalisation et evaluation de maquette)
Système d'information;Tech;Developper des systèmes informatiques en equipe
Système d'information;Tech;Déployer les developments informatiques sur des serveurs
Recherche et Innovation;Tech;Faire le point sur l'état de l'art et les limites des savoirs au sein d'un domaine de recherche en Innvoations, aux échelles locale, nationale et internationale
Recherche et Innovation;Admin;Création et estimation de budget de fonctionement et Investissement pour des projets
Créativité;Sci;Conception des projet de recherche sur la Créativité et géneration des idées
Créativité;Tech;Animation d'ateliers de Créativité et Innovation stratégique
Créativité;Tech;Conception et utilisation des outils support (numeriques et physiques) pour des ateliers de Créativité et Innovation
Créativité;Admin;Gestion (Achat et renouvellment) des licences de logiciesl pour la créativié
Open Innovation;Sci;Developement et implementation des methodologies de Innovation collaborative
Open Innovation;Tech;Utilisation de méthodes agiles de collaboration pour development projets e workshops
Modeles CAO;Tech;Conception de modèles et prototypes de produit en CAO
Fiches Idées;Tech;Utilisation des support numeriques pour presentation et slection des idées
Services IaaS;Tech;Utilisation et deployment de services web IaaS
Veille technologique;Sci;Réalisation de la veille technologique sur les avances de procédés de matérialisation et protoypage en open source
Prototypage electronique;Tech;Development des prototypes et Objets Intermedaires de Conception (OIC) electroniques
Prototypage Mécanique;Tech;Development des prototypes et Objets Intermedaires de Conception (OIC) mécaniques
Prototypage Objets connectés;Tech;Development des prototypes et Objets Intermedaires de Conception (OIC) opén hardware connectés
Impresion 3D Dépôt de fil fondu;Tech;Matrise de procédé d'impression 3D par deposition de filament fondu
Impresion 3D Stereolithographie;Tech;Matrise de procédé d'impression 3D SLA
Impresion 3D Composite;Tech;Matrise de procédé d'impression 3D polymer et fibre de reinforcement
Manteinance parc machines;Admin;Programation et réalisation de mantenance des parc de machines
Modeles VR;Tech;Creation e contenu en VR para prototypos a une échelle produit et territoire
Technologie VR;Tech;Creation des dispositifs et de modules pour expérimentation VR
Living lab;Sci;Development de méthodologies et des protocoles d'évaluation de nouvelle produits / filière en model living lab
Technologies Eye-tracking;Tech;Utilisation et explotation des données issue de technologies Eye-tracking
Questionnaires;Tech;Development de protocoles et questionnaire pour l'evaluation d'usage
Capteurs physiologiques;Tech;Utilisation et creation des basse des données explotables par capteurs des capteurs physiologiques
Theorie sur Environment collaboratifs e immersives spaces;Sci;Development des protocoles de performance sur les ICE
Espaces d'Innovation collaborative;Sci;Development de méthodes de management ciblés pour les espaces de innovation collaborative et tieurs-lieux
Conceptualisation de projects d'Innovation territorial  & Smart City;Sci;Development de méthodes pour piloter des projets de developpement territorial
Théorie des systèmes intelligentes;Sci;Utilisation et dévelopment des méthodologies de  modélisation des systèmes multi-agents
Alogritmes d'Apprentissage;Sci;Dévelopement des algortimes d'apprentisage automatique
Base de donnés;Sci;Implementation des machines virtuels, basse des donnés et réseau d'information
Pilotage projet;Admin;Piloter un 'Work package' dans un projet européen
Pilotage projet;Admin;Pilotage administratif des projet de recherche au sein de l'UL
Achats;Admin;Mise en concurrences des fournisseurs dans les processus d'achat
RH;Admin;Conduite d'entretiens pour nouvelle personnel
Partenariats;Admin;Établissement de contrat de partenairiat avec acteur hors UL
Gestion de commandes;Admin;Suivi de achats
Prestations;Admin;Redaction de devis et propositions de prestations
Gestion du site;Admin;Reservation des equipements et des lieux pour de séances de travail
Lien avec des institutions;Admin;Créations et mantenances de liens avec des institutions proches et liés au LF2L
Github;Logiciels;Utilisation d'outil collaborative
Vosviewer;Logiciels;Outil de recherche sur l'état de l'art
Dévelopement web (Pages Statiques);Logiciels;Création des sites statiques pour des projests
Rstudio;Logiciels;Logiciels de data analysis et data visualization
Jupyter;Logiciels;Logiciels de data analysis et data visualization
Intuiface;Logiciels;Logiciel de création de contenu
Matlab;Logiciels;Logiciel d'analyse mathématique et algebraique
Nvivo;Logiciels;Logiciel d'analyse qualitative de données
Onshape;Logiciels;Logiciel de modélisation 3D (CAO)
IBM rational rhapsody;Logiciels;Logiciel de modélisation des systèmes
IceSL;Logiciels;Logiciel de modélisation de slicing pour impression 3D
R;NA;Traitement de données
Python;NA;Traitement de données, dev web
Javascript;NA;Dev web
PHP;NA;Dev web
OWL;NA;Dev web
Adobe XD;Logiciels;Logiciel de conception UI/UX
Unity;Logiciels;Logiciels de dévelopement VR
Docker;Logiciels;Logiciels de gestion des containers
